"code";"libellé";"description";"type";"format";"minimum";"maximum";"enum";"granularity";"constraint";"reference"
"E122";"particuliers_adultes_65_hommes_inscrits_actifs";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Hommes - Inscrits actifs";"integer";"default";;;;;;
"E123";"particuliers_adultes_65_hommes_nouveaux_inscrits";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Hommes - dont nouveaux inscrits";"integer";"default";;;;;;
"E124";"particuliers_adultes_65_hommes_emprunteurs_actifs";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Hommes - dont emprunteurs actifs";"integer";"default";;;;;;
"E125";"particuliers_adultes_65_femmes_inscrits_actifs";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Femmes - Inscrits actifs";"integer";"default";;;;;;
"E126";"particuliers_adultes_65_femmes_nouveaux_inscrits";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Femmes - dont nouveaux inscrits";"integer";"default";;;;;;
"E127";"particuliers_adultes_65_femmes_emprunteurs_actifs";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Femmes - dont emprunteurs actifs";"integer";"default";;;;;;
"E128";"particuliers_adultes_65_total_inscrits_actifs";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Total - Inscrits actifs";"integer";"default";;;;;;
"E129";"particuliers_adultes_65_total_nouveaux_inscrits";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Total - dont nouveaux inscrits";"integer";"default";;;;;;
"E130";"particuliers_adultes_65_total_emprunteurs_actifs";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Total - dont emprunteurs actifs";"integer";"default";;;;;;
"E131";"particuliers_total_adultes_hommes_inscrits_actifs";"Usagers - Particuliers - Total adultes Hommes - Inscrits actifs";"integer";"default";;;;;;
"E132";"particuliers_total_adultes_hommes_nouveaux_inscrits";"Usagers - Particuliers - Total adultes Hommes - dont nouveaux inscrits";"integer";"default";;;;;;
"E133";"particuliers_total_adultes_hommes_emprunteurs_actifs";"Usagers - Particuliers - Total adultes Hommes - dont emprunteurs actifs";"integer";"default";;;;;;
"E134";"particuliers_total_adultes_femmes_inscrits_actifs";"Usagers - Particuliers - Total adultes Femmes - Inscrits actifs";"integer";"default";;;;;;
"E135";"particuliers_total_adultes_femmes_nouveaux_inscrits";"Usagers - Particuliers - Total adultes Femmes - dont nouveaux inscrits";"integer";"default";;;;;;
"E136";"particuliers_total_adultes_femmes_emprunteurs_actifs";"Usagers - Particuliers - Total adultes Femmes - dont emprunteurs actifs";"integer";"default";;;;;;
"E137";"particuliers_total_adultes_inscrits_actifs";"Usagers - Particuliers - Total adultes - Inscrits actifs";"integer";"default";;;;;;
"E138";"particuliers_total_adultes_nouveaux_inscrits";"Usagers - Particuliers - Total adultes - dont nouveaux inscrits";"integer";"default";;;;;;
"E139";"particuliers_total_adultes_emprunteurs_actifs";"Usagers - Particuliers - Total adultes - dont emprunteurs actifs";"integer";"default";;;;;;
"E140";"particuliers_residents_commune_inscrits_actifs";"Usagers - Particuliers - dont résidents dans la commune ou les communes adhérentes au réseau - Inscrits actifs";"integer";"default";;;;;;
"E141";"particuliers_residents_commune_nouveaux_inscrits";"Usagers - Particuliers - dont résidents dans la commune ou les communes adhérentes au réseau - dont nouveaux inscrits";"integer";"default";;;;;;
"E142";"particuliers_residents_commune_emprunteurs_actifs";"Usagers - Particuliers - dont résidents dans la commune ou les communes adhérentes au réseau - dont emprunteurs actifs";"integer";"default";;;;;;
"E143";"usagers_collectivites_nouveaux_inscrits";"Usagers - Collectivités - dont nouveaux inscrits";"integer";"default";;;;;;
"E144";"usagers_collectivites_emprunteurs_actifs";"Usagers - Collectivités - dont emprunteurs actifs";"integer";"default";;;;;;
"E145";;"Obsolète - ne pas utiliser";;;;;;;;
"E146";;"Obsolète - ne pas utiliser";;;;;;;;
"E147";"frequentation_annuelle";"Usagers - Fréquentation : entrées dans l'établissement durant l’année";"integer";"default";;;;;;
"E148";"particuliers_enfants_nsp_genre_inscrits_actifs";"Usagers - Particuliers - dont Enfants (de 0 à 14 ans) Ne se prononce pas - Inscrits actifs";"integer";"default";;;;;;
"E149";"particuliers_enfants_nsp_genre_nouveaux_inscrits";"Usagers - Particuliers - dont Enfants (de 0 à 14 ans) Ne se prononce pas - dont nouveaux inscrits";"integer";"default";;;;;;
"E150";"particuliers_enfants_nsp_genre_emprunteurs_actifs";"Usagers - Particuliers - dont Enfants (de 0 à 14 ans) Ne se prononce pas - dont emprunteurs actifs";"integer";"default";;;;;;
"E151";"particuliers_adultes_nsp_genre_inscrits_actifs";"Usagers - Particuliers - dont Adultes (de 15 à 64 ans) Ne se prononce pas - Inscrits actifs";"integer";"default";;;;;;
"E152";"particuliers_adultes_nsp_genre_nouveaux_inscrits";"Usagers - Particuliers - dont Adultes (de 15 à 64 ans) Ne se prononce pas - dont nouveaux inscrits";"integer";"default";;;;;;
"E153";"particuliers_adultes_nsp_genre_emprunteurs_actifs";"Usagers - Particuliers - dont Adultes (de 15 à 64 ans) Ne se prononce pas - dont emprunteurs actifs";"integer";"default";;;;;;
"E154";"particuliers_adultes_65_nsp_genre_inscrits_actifs";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Ne se prononce pas - Inscrits actifs";"integer";"default";;;;;;
"E155";"particuliers_adultes_65_nsp_genre_nouveaux_inscrits";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Ne se prononce pas - dont nouveaux inscrits";"integer";"default";;;;;;
"E156";"particuliers_adultes_65_nsp_genre_emprunteurs_actifs";"Usagers - Particuliers - dont Adultes (de 65 ans et plus) Ne se prononce pas - dont emprunteurs actifs";"integer";"default";;;;;;
"E157";"particuliers_total_adultes_nsp_genre_inscrits_actifs";"Usagers - Particuliers - Total adultes - Ne se prononce pas - Inscrits actifs";"integer";"default";;;;;;
"E158";"particuliers_total_adultes_nsp_genre_nouveaux_inscrits";"Usagers - Particuliers - Total adultes - Ne se prononce pas - dont nouveaux inscrits";"integer";"default";;;;;;
"E159";"particuliers_total_adultes_nsp_genre_emprunteurs_actifs";"Usagers - Particuliers - Total adultes - Ne se prononce pas - dont emprunteurs actifs";"integer";"default";;;;;;
"E160";"frequentation_semaine_test_printemps";"Fréquentation durant la semaine test de printemps";"integer";"default";;;;;;
"E161";"frequentation_semaine_test_automne";"Fréquentation durant la semaine test d’automne";"integer";"default";;;;;;
"E201";"prets_livres_adultes";"Prêts - Livres - Adultes";"integer";"default";;;;;;
"E202";"prets_livres_enfants";"Prêts - Livres - Enfants";"integer";"default";;;;;;
"E203";"prets_livres_total";"Prêts - Livres -Total";"integer";"default";;;;;;
"E205";"prets_periodiques_imprimes_adultes";"Prêts - Publications en série imprimées - Adultes";"integer";"default";;;;;;
"E206";"prets_periodiques_imprimes_enfants";"Prêts - Publications en série imprimées - Enfants";"integer";"default";;;;;;
"E207";"prets_periodiques_imprimes_total";"Prêts - Publications en série imprimées - Total";"integer";"default";;;;;;
"E211";"prets_documents_sonores_musique_total";"Prêts - Documents sonores : musique -Total";"integer";"default";;;;;;
"E213";"prets_documents_sonores_livres_adultes";"Prêts - Documents sonores : livres - Adultes";"integer";"default";;;;;;
"E214";"prets_documents_sonores_livres_enfants";"Prêts - Documents sonores : livres - Enfants";"integer";"default";;;;;;
"E215";"prets_documents_sonores_livres_total";"Prêts - Documents sonores : livres - Total";"integer";"default";;;;;;
"E217";"prets_documents_video_adultes";"Prêts - Documents vidéo - Adultes";"integer";"default";;;;;;
"E218";"prets_documents_video_enfants";"Prêts - Documents vidéo - Enfants";"integer";"default";;;;;;
"E219";"prets_documents_video_total";"Prêts - Documents vidéo - Total";"integer";"default";;;;;;
"E221";"prets_autres_documents_adultes";"Prêts - Autres documents - Adultes";"integer";"default";;;;;;
"E222";"prets_autres_documents_enfants";"Prêts - Autres documents - Enfants";"integer";"default";;;;;;
"E223";"prets_autres_documents_total";"Prêts - Autres documents - Total";"integer";"default";;;;;;
"E235";"prets_documents_sonores_total";"Prêts - Documents sonores -Total";"integer";"default";;;;;;
"E237";"prets_adultes_total";"Prêts - Adultes - Total";"integer";"default";;;;;;
"E238";"prets_enfants_total";"Prêts - Enfants - Total";"integer";"default";;;;;;
"E239";"prets_total";"Prêts - Total - Total";"integer";"default";;;;;;
"E240";"collectivites_prets_total";"Prêts aux collectivités";"integer";"default";;;;;;
"E241";"prets_livres_bd_total";"Prêts - Livres -Total - Dont prêt sur documents de la BD";"integer";"default";;;;;;
"E242";"prets_documents_sonores_bd_total";"Prêts - Documents sonores -Total - Dont prêt sur documents de la BD";"integer";"default";;;;;;
"E243";"prets_documents_video_bd_total";"Prêts - Documents vidéo -Total - Dont prêt sur documents de la BD";"integer";"default";;;;;;
"E245";"prets_documents_sonores_bd_total";"Prêts - Documents sonores : musique - Total - Dont prêts sur documents de la BD";"integer";"default";;;;;;
"E246";"prets_documents_sonores_livres_bd_total";"Prêts - Documents sonores : livres - Total - Dont prêts sur documents de la BD";"integer";"default";;;;;;
"E247";"prets_jeux_de_societe_total";"Prêts total de jeux de société";"integer";"default";;;;;;
"E248";"prets_jeux_video_total";"Prêts total de jeux vidéo";"integer";"default";;;;;;
"E301";"consultations_sur_place_total";"Autres types d'usage - Consultations sur place";"integer";"default";;;;;;
"E302";"reservations_total";"Autres types d'usage - Réservations";"integer";"default";;;;;;
"E303";;;;;;;;;;
"E504";"catalogue_en_ligne";"Services et ressources électroniques proposés par la bibliothèque - Catalogue en ligne";"boolean";"default";;;;;;
"E515";"ressources_numeriques_acquises";"Services et ressources électroniques proposés par la bibliothèque - Ressources numériques dont -";"boolean";"default";;;;;;
"E517 - suppr";;;;;;;;;;
"E518";"ressources_numeriques_acquises_presse_nb_consultations";"Services et ressources électroniques proposés par la bibliothèque - Ressources numériques dont - Publications en série électroniques - Nombre de contenus consultés";"boolean";"default";;;;;;
"E532";"ressources_numeriques_acquises_livres_nb_consultations";"Services et ressources électroniques proposés par la bibliothèque - Ressources numériques dont - Livres, encyclopédies, dictionnaires - Nombre de consultations";"boolean";"default";;;;;;
"E534";"ressources_numeriques_acquises_musique_nb_consultations";"Services et ressources électroniques proposés par la bibliothèque - Ressources numériques dont - Musique - Nombre de consultations";"boolean";"default";;;;;;
"E536";"ressources_numeriques_acquises_video_nb_consultations";"Services et ressources électroniques proposés par la bibliothèque - Ressources numériques dont - Vidéo - Nombre de consultations";"boolean";"default";;;;;;
"E538";"ressources_numeriques_acquises_autoformation_nb_consultations";"Services et ressources électroniques proposés par la bibliothèque - Ressources numériques dont - Autoformation - Nombre de consultations";"boolean";"default";;;;;;
"E541";"reseaux_sociaux";"Services et ressources électroniques proposés par la bibliothèque - Présence en ligne -Réseaux sociaux";"boolean";"default";;;;;;
"E542";"reseaux_sociaux_liste";"Services et ressources électroniques proposés par la bibliothèque - Présence en ligne - Si oui, lesquels";"string";"default";;;;;;
"E544";"nb_visites_site_internet";"Nombre de visites du site internet";"integer";"default";;;;;;
"F101";"depenses_investissement_total";"Dépenses d'investissement - Total des dépenses";"integer";"default";;;;;;
"F102";"depenses_investissement_batiments";"Dépenses d'investissement - Terrains, bâtiments";"integer";"default";;;;;;
"F103";"depenses_investissement_informatique";"Dépenses d'investissement - Informatique (matériel et logiciels)";"integer";"default";;;;;;
"F104";"depenses_investissement_vehicules";"Dépenses d'investissement - Véhicules";"integer";"default";;;;;;
"F105";"depenses_investissement_autres";"Dépenses d'investissement - Autres (mobilier, équipements)";"integer";"default";;;;;;
"F106";"depenses_investissement_documents";"Dépenses d'investissement - Documents";"integer";"default";;;;;;
"F201";"depenses_fonctionnement_personnel_total";"Dépenses de fonctionnement - Dépenses pour le personnel - Dépense totale";"integer";"default";;;;;;
"F204";"defraiement_benevoles";"Défraiement bénévoles";"integer";"default";;;;;;
"F314";"depenses_fonctionnement_documents_total";"Dépenses de fonctionnement - Dépenses d'acquisitions documentaires - Dépense totale";"integer";"default";;;;;;
"F401";"depenses_patrimoine_reliure_conservation";"Patrimoine - Dépenses d’acquisition et d’entretien des collections patrimoniales - Reliure, conservation préventive et curative";"integer";"default";;;;;;
"F402";"depenses_patrimoine_conversion";"Patrimoine - Dépenses d’acquisition et d’entretien des collections patrimoniales - Conversion sur support matériel";"integer";"default";;;;;;
"F403";"depenses_patrimoine_numerisation";"Patrimoine - Dépenses d’acquisition et d’entretien des collections patrimoniales - Numérisation";"integer";"default";;;;;;
"F502";"depenses_fonctionnement_action_culturelle";"Dépenses de fonctionnement - Dépenses spécifiques - Action culturelle";"integer";"default";;;;;;
"F504";"depenses_fonctionnement_informatique";"Dépenses de fonctionnement - Dépenses spécifiques - Dépenses informatiques";"integer";"default";;;;;;
"F507";"depenses_fonctionnement_equipement";"Dépenses de fonctionnement - Dépenses spécifiques - Équipement des documents";"integer";"default";;;;;;
"F508";"depenses_fonctionnement_communnication";"Dépenses de fonctionnement - Dépenses spécifiques - Communication";"integer";"default";;;;;;
"F601";"recettes_subventions_publiques";"Recettes - Ressources propres et subventions - Subventions d’origine publique";"integer";"default";;;;;;
"F602";"recettes_subventions_privées";"Recettes - Ressources propres et subventions - Autres ressources d'origine privée (sociétés, particuliers, …)";"integer";"default";;;;;;
"F603";"recettes_propres_total";"Recettes - Ressources propres et subventions - Recettes propres";"integer";"default";;;;;;
"F604";"recettes_propres_inscriptions";"Recettes - Ressources propres et subventions - Recettes propres - droits d'inscription";"integer";"default";;;;;;
"F605";"recettes_propres_usages";"Recettes - Ressources propres et subventions - Recettes propres - droits d'usage pour les services de la bibliothèque";"integer";"default";;;;;;
"F606";"recettes_dispositifs_etat";"Subventions issues de dispositifs d'Etat";"string";"default";;;;;;
"F701";"depenses_acquisitions_documents_support_livres";"Dépenses globales détaillées d'acquisition documentaire - Documents imprimés et sur support --Livres imprimés";"integer";"default";;;;;;
"F702";"depenses_acquisitions_documents_numeriques_livres";"Dépenses globales détaillées d'acquisition documentaire - Ressources numériques - Livres, livres lus, dictionnaires, encyclopédies";"integer";"default";;;;;;
"F703";"depenses_acquisitions_documents_support_periodiques";"Dépenses globales détaillées d'acquisition documentaire - Documents imprimés et sur support - Publications en série imprimées";"integer";"default";;;;;;
"F704";"depenses_acquisitions_documents_numeriques_periodiques";"Dépenses globales détaillées d'acquisition documentaire - Ressources numériques - Périodiques, presse";"integer";"default";;;;;;
"F705";"depenses_acquisitions_documents_support_sonores";"Dépenses globales détaillées d'acquisition documentaire - Documents imprimés et sur support - Documents sonores sur support";"integer";"default";;;;;;
"F706";"depenses_acquisitions_documents_numeriques_musique";"Dépenses globales détaillées d'acquisition documentaire - Ressources numériques - Musique";"integer";"default";;;;;;
"F707";"depenses_acquisitions_documents_support_video";"Dépenses globales détaillées d'acquisition documentaire - Documents imprimés et sur support - Documents vidéo sur support";"integer";"default";;;;;;
"F708";"depenses_acquisitions_documents_numeriques_video";"Dépenses globales détaillées d'acquisition documentaire - Ressources numériques - Vidéo";"integer";"default";;;;;;
"F709";"depenses_acquisitions_documents_support_autres";"Dépenses globales détaillées d'acquisition documentaire - Documents imprimés et sur support - Autres documents non électroniques";"integer";"default";;;;;;
"F710";"depenses_acquisitions_documents_support_jeux_video";"Dépenses globales détaillées d'acquisition documentaire - Documents imprimés et sur support - Jeux vidéo sur support";"integer";"default";;;;;;
"F712";"depenses_acquisitions_documents_support_total";"Dépenses globales détaillées d'acquisition documentaire - Documents imprimés et sur support - Total documents imprimés et sur support";"integer";"default";;;;;;
"F713";"depenses_acquisitions_documents_numeriques_total";"Dépenses globales détaillées d'acquisition documentaire - Ressources numériques -Total ressources numériques";"integer";"default";;;;;;
"F714";"depenses_acquisitions_documents_total";"Dépenses globales détaillées d'acquisition documentaire - Total";"integer";"default";;;;;;
"F715";"depenses_acquisitions_documents_numeriques_autoformation";"Dépenses globales détaillées d'acquisition documentaire - Ressources numériques - Autoformation";"integer";"default";;;;;;
"F716";"depenses_acquisitions_documents_numeriques_autres";"Dépenses globales détaillées d'acquisition documentaire - Ressources numériques - Autres ressources";"integer";"default";;;;;;
"F717";"depenses_jeux_de_societe";"Dépenses globales détaillées d'acquisition de jeux de société";"integer";"default";;;;;;
"F718";"participation_financiere_ress_num_via_bd";"Participation financière pour accéder aux ressources numériques proposées par la BD";"integer";"default";;;;;;
"F801";"marche_acquisitions_livres_type";"Type de marché";"string";"default";;;;;;
"F802";"marche_acquisitions_livres_collectivite";"Ce marché a-t-il été passé";"string";"default";;;;;;
"F803";"marche_acquisitions_livres_duree";"Durée totale du marché";"integer";"default";;;;;;
"F828";"marche_acquisitions_livres_montant_total";"Montant total du marché";"integer";"default";;;;;;
"G101";"personnel_total";"Personnel - Personnes - Total";"integer";"default";;;;;;
"G102";"personnel_etp_salaries_total";"Personnel - ETP - Total salariés ";"integer";"default";;;;;;
"G103";"personnel_culture_conservateurs";"Personnel - Professionnels de la filière culture - Personnes - Conservateurs";"integer";"default";;;;;;
"G104";"personnel_culture_etp_conservateurs";"Personnel - Professionnels de la filière culture - ETP - Conservateurs";"integer";"default";;;;;;
"G105";"personnel_culture_bibliothecaires";"Personnel - Professionnels de la filière culture - Personnes - Bibliothécaires ou attachés de conservation";"integer";"default";;;;;;
"G106";"personnel_culture_etp_bibliothecaires";"Personnel - Professionnels de la filière culture - ETP - Bibliothécaires ou attachés de conservation";"integer";"default";;;;;;
"G111";"personnel_culture_adjoints_patrimoine";"Personnel - Professionnels de la filière culture - Personnes - Adjoints du patrimoine";"integer";"default";;;;;;
"G112";"personnel_culture_etp_adjoints_patrimoine";"Personnel - Professionnels de la filière culture - ETP - Adjoints du patrimoine";"integer";"default";;;;;;
"G113";"personnel_culture_adjoints_patrimoine_qualifies";"Personnel - Professionnels de la filière culture - Personnes - Adjoints du patrimoine qualifiés";"integer";"default";;;;;;
"G114";"personnel_autres_filieres_categorie_a";"Personnel - Fonction publique autres filières - Personnes - Catégorie A";"integer";"default";;;;;;
"G115";"personnel_autres_filieres_etp_categorie_a";"Personnel - Fonction publique autres filières - ETP - Catégorie A";"integer";"default";;;;;;
"G117";"personnel_autres_filieres_categorie_b";"Personnel - Fonction publique autres filières - Personnes - Catégorie B";"integer";"default";;;;;;
"G118";"personnel_autres_filieres_etp_categorie_b";"Personnel - Fonction publique autres filières - ETP - Catégorie B";"integer";"default";;;;;;
"G120";"personnel_autres_filieres_categorie_c";"Personnel - Fonction publique autres filières - Personnes - Catégorie C";"integer";"default";;;;;;
"G121";"personnel_autres_filieres_etp_categorie_c";"Personnel - Fonction publique autres filières - ETP - Catégorie C";"integer";"default";;;;;;
"G129";"benevoles_total";"Personnel - Bénévoles";"integer";"default";;;;;;
"G130";"benevoles_qualifies_total";"Personnel - Bénévoles - dont qualifiés";"integer";"default";;;;;;
"G131";"benevoles_etp";"Personnel - Bénévoles -« ETP »";"integer";"default";;;;;;
"G132";"personnel_etp_total";"Personnel - ETP - Total";"integer";"default";;;;;;
"G133";"personnel_culture_assistants_conservation";"Personnel - Professionnels de la filière culture - Personnes - Assistants territoriaux de conservation";"integer";"default";;;;;;
"G134";"personnel_culture_etp_assistants_conservation";"Personnel - Professionnels de la filière culture - ETP- Assistants territoriaux de conservation";"integer";"default";;;;;;
"G135";"personnel_salaries_total";"Personnel - Total salariés - Personnes";"integer";"default";;;;;;
"G136";"personnel_culture_etp_adjoints_patrimoine_qualifies";"Personnel - Professionnels de la filière culture - ETP - Adjoints du patrimoine - dont qualifiés";"integer";"default";;;;;;
"G143";"personnel_salarie";"Une partie au moins du personnel est-elle salariée ?";"boolean";"default";;;;;;
"G144";"benevoles";"La bibliothèque fonctionne-t-elle avec des bénévoles ?";"boolean";"default";;;;;;
"G145";"personnel_postes_categorie_a";"Personnel - Nombre de postes de catégorie A/A+";"integer";"default";;;;;;
"G146";"personnel_non_titulaires_categorie_a";"Personnel - Catégorie A - non-titulaires";"integer";"default";;;;;;
"G147";"personnel_etp_postes_categorie_a";"Personnel - Catégorie A - non-titulaires - ETP";"integer";"default";;;;;;
"G148";"personnel_postes_categorie_b";"Nombre de postes de catégorie B";"integer";"default";;;;;;
"G149";"personnel_non_titulaires_categorie_b";"Personnel - Catégorie B - non-titulaires";"integer";"default";;;;;;
"G150";"personnel_etp_postes_categorie_b";"Personnel - Catégorie B - non-titulaires - ETP";"integer";"default";;;;;;
"G151";"personnel_postes_categorie_c";"Nombre de postes de catégorie C";"integer";"default";;;;;;
"G152";"personnel_non_titulaires_categorie_c";"Personnel - Catégorie C - non-titulaires";"integer";"default";;;;;;
"G153";"personnel_etp_postes_categorie_c";"Personnel - Catégorie C - non-titulaires - ETP";"integer";"default";;;;;;
"G154";"personnel_etp_postes_categorie_c_qualifies";"Personnel - Catégorie C qualifiés - non-titulaires - ETP";"integer";"default";;;;;;
"G155";"personnel_vacataires";"Vacataires - Personnes";"integer";"default";;;;;;
"G156";"personnel_vacataires_etp";"Vacataires - ETP";"integer";"default";;;;;;
"G157";"postes_vacants_categorie_a";"Postes de catégorie A/A+ non occupés plus de 6 mois dans l'année";"integer";"default";;;;;;
"G158";"postes_vacants_categorie_b";"Postes de catégorie B non occupés plus de 6 mois dans l'année";"integer";"default";;;;;;
"G159";"postes_vacants_categorie_c";"Postes de catégorie C non occupés plus de 6 mois dans l'année";"integer";"default";;;;;;
"G202";"formation_personnel_nb_personnes_formees";"Formation - Formation du personnel - Nombre de personnes formées";"integer";"default";;;;;;
"G204";"formation_reseau_nb_personnes_formees";"Formation - Formation des acteurs du tiers réseau - Nombre de personnes formées";"integer";"default";;;;;;
